City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Haines Junction,CA,2020-05-08 22:20:43,60.75,-137.51,58.51,32,75,5.41,broken clouds,0,0
1,Upington,ZA,2020-05-08 22:22:34,-28.45,21.26,59.0,33,0,3.36,clear sky,0,0
2,Busselton,AU,2020-05-08 22:19:37,-33.65,115.33,43.0,75,0,6.42,clear sky,0,0
3,Jamestown,US,2020-05-08 22:19:30,42.1,-79.24,33.01,79,90,11.41,light snow,0,0
4,Esperance,AU,2020-05-08 22:19:54,-33.87,121.9,48.2,93,40,6.93,scattered clouds,0,0
5,Mahebourg,MU,2020-05-08 22:19:42,-20.41,57.7,71.6,94,40,4.7,scattered clouds,0,0
6,Cherskiy,RU,2020-05-08 22:20:08,68.75,161.3,34.65,87,0,6.82,clear sky,0,0
7,Tuatapere,NZ,2020-05-08 22:22:35,-46.13,167.68,53.98,78,47,6.53,scattered clouds,0,0
8,East London,ZA,2020-05-08 22:19:38,-33.02,27.91,69.28,77,76,4.07,broken clouds,0,0
9,Magadan,RU,2020-05-08 22:19:58,59.57,150.8,35.53,83,52,3.53,broken clouds,0,0
10,Provideniya,RU,2020-05-08 22:21:24,64.38,-173.3,40.08,71,100,17.45,overcast clouds,0,0
11,Ushuaia,AR,2020-05-08 22:19:31,-54.8,-68.3,44.6,87,40,5.82,scattered clouds,0,0
12,Cidreira,BR,2020-05-08 22:19:37,-30.18,-50.21,60.3,75,0,5.99,clear sky,0,0
13,Elk Point,US,2020-05-08 22:22:36,42.68,-96.68,57.99,99,22,10.0,few clouds,0,0
14,Ust-Ishim,RU,2020-05-08 22:22:36,57.69,71.17,56.86,51,100,4.27,overcast clouds,0,0
15,Barrow,US,2020-05-08 22:20:23,71.29,-156.79,19.4,92,90,12.75,fog,0,0
16,Hilo,US,2020-05-08 22:19:39,19.73,-155.09,84.2,54,20,9.17,few clouds,0,0
17,Bathsheba,BB,2020-05-08 22:22:37,13.22,-59.52,82.4,69,40,17.22,scattered clouds,0,0
