City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
5,Mahebourg,MU,scattered clouds,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
16,Hilo,US,few clouds,84.2,19.73,-155.09,Hilo Hawaiian Hotel
17,Bathsheba,BB,scattered clouds,82.4,13.22,-59.52,Atlantis Hotel
22,Butaritari,KI,overcast clouds,82.69,3.07,172.79,Isles Sunset Lodge
24,Avarua,CK,scattered clouds,82.4,-21.21,-159.78,Paradise Inn
28,Rikitea,PF,scattered clouds,75.74,-23.12,-134.97,Pension Maro'i
30,Aitape,PG,broken clouds,80.65,-3.14,142.35,
31,Simbahan,PH,light rain,84.06,6.3,120.58,
33,Kavieng,PG,clear sky,83.89,-2.57,150.8,Nusa Island Retreat
40,Puerto Ayora,EC,few clouds,82.4,-0.74,-90.35,Finch Bay Galapagos Hotel
41,Luorong,CN,light rain,79.16,24.41,109.61,荣立大酒店
43,Hithadhoo,MV,light rain,84.97,-0.6,73.08,Scoop Guest House
45,Port Blair,IN,overcast clouds,83.43,11.67,92.75,Hotel Sentinel
47,Amravati,IN,clear sky,83.88,20.93,77.75,STARiHOTELS Rahatgoan Amravati
48,Gushikawa,JP,scattered clouds,73.4,26.35,127.87,Kirari Guest House
54,Rondonopolis,BR,few clouds,71.26,-16.47,-54.64,Serras Hotel
55,Pisco,PE,scattered clouds,71.6,-13.7,-76.22,Hostal San Isidro Oficial
56,Vaini,TO,broken clouds,82.4,-21.2,-175.2,Keleti Beach Resort
58,Atuona,PF,light rain,81.03,-9.8,-139.03,Villa Enata
71,Paracuru,BR,scattered clouds,84.0,-3.41,-39.03,Hotel VentoBrasil
73,Caucaia,BR,broken clouds,84.0,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
75,Flinders,AU,clear sky,73.0,-34.58,150.86,Shellharbour Resort & Conference Centre
82,Saint-Philippe,RE,overcast clouds,71.6,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
84,Victoria,HK,broken clouds,82.0,22.29,114.16,Mini Hotel Central
85,Mecca,SA,broken clouds,82.02,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
86,Russell,US,overcast clouds,73.4,32.35,-85.2,Macs
90,Bandarbeyla,SO,clear sky,82.2,9.49,50.81,REER XOOSHLE GROUP
91,Georgetown,MY,scattered clouds,78.8,5.41,100.34,Cititel Penang
93,Salalah,OM,few clouds,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
95,Cururupu,BR,light rain,76.8,-1.83,-44.87,Pousada Través'cia
105,Ternate,ID,scattered clouds,82.78,0.8,127.4,Grand Dafam Bela Ternate
107,Marsh Harbour,BS,clear sky,75.42,26.54,-77.06,Abaco Beach Resort
108,Obo,CF,moderate rain,71.78,5.4,26.49,
111,Kandrian,PG,scattered clouds,80.65,-6.22,149.55,
115,Kapaa,US,broken clouds,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
118,Rawson,AR,overcast clouds,72.48,-43.3,-65.1,Hotel Punta León
120,Ouesso,CG,light rain,72.66,1.61,16.05,Hôtel ABENI
121,Mogadishu,SO,light rain,82.54,2.04,45.34,Hotel Juba
122,Sechura,PE,few clouds,80.53,-5.56,-80.82,Hospedaje Costa Bella
128,Faanui,PF,light rain,81.52,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
129,Ramanuj Ganj,IN,clear sky,76.21,23.8,83.7,HOTEL SAI SIDDHI
131,Nalut,LY,overcast clouds,82.6,30.33,10.85,
132,Sao Filipe,CV,clear sky,74.21,14.9,-24.5,Tortuga B&B
134,Wanning,CN,overcast clouds,79.99,18.8,110.4,Paradise Hotel
136,Buchanan,LR,thunderstorm,80.6,5.88,-10.05,Kamaneahn Hotel Inc
141,Aurad,IN,clear sky,83.68,18.25,77.43,Bishmilla Birayani Hotel Aurad C
143,Tura,IN,clear sky,72.48,25.52,90.22,Hotel RIKMAN Continental
148,Gigmoto,PH,overcast clouds,80.55,13.78,124.39,Cj's Travellers Inn
150,Arraial Do Cabo,BR,few clouds,71.6,-22.97,-42.03,Pousada Porto Praia
155,Yangambi,CD,broken clouds,71.98,0.81,24.43,
156,Micheweni,TZ,light rain,80.62,-4.97,39.83,
157,Port-Gentil,GA,light rain,78.8,-0.72,8.78,Fengshui Residence
159,Port Hedland,AU,few clouds,75.2,-20.32,118.57,The Esplanade Hotel
163,Guerrero Negro,MX,clear sky,80.33,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
165,Cap Malheureux,MU,scattered clouds,71.6,-19.98,57.61,Pereybere Hotel & Spa
166,Pimentel,PE,scattered clouds,71.11,-6.84,-79.93,Casona Del Muelle
167,Najran,SA,scattered clouds,77.0,17.49,44.13,محمد هادي ال فطيح
169,Khorramshahr,IR,scattered clouds,78.8,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
170,Pacific Grove,US,clear sky,82.0,36.62,-121.92,Lovers Point Inn
173,Koraput,IN,scattered clouds,78.69,18.82,82.72,Raj Residency
174,Sinnamary,GF,broken clouds,78.66,5.38,-52.95,ALETHEIA Appartement Sinnamary
175,South Venice,US,clear sky,82.99,27.05,-82.42,Rodeway Inn
177,Vung Tau,VN,overcast clouds,83.88,10.35,107.08,Seaside Resort
179,Corrales,US,"sand,dust whirls",73.0,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
