City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saskylakh,RU,2020-05-06 00:29:23,71.92,114.08,1.63,92,67,9.1
1,Mahdasht,IR,2020-05-06 00:29:23,35.73,50.81,69.8,32,75,2.24
2,Kaitangata,NZ,2020-05-06 00:25:13,-46.28,169.85,55.99,62,93,21.99
3,Kieta,PG,2020-05-06 00:29:23,-6.22,155.63,85.41,56,21,2.28
4,Ukiah,US,2020-05-06 00:29:23,39.15,-123.21,75.2,38,20,9.17
5,Tipitapa,NI,2020-05-06 00:29:24,12.2,-86.1,90.7,47,54,9.33
6,Cape Town,ZA,2020-05-06 00:28:00,-33.93,18.42,63.0,88,86,10.29
7,Felanitx,ES,2020-05-06 00:29:24,39.47,3.15,68.0,94,40,2.24
8,Coxim,BR,2020-05-06 00:29:24,-18.51,-54.76,74.62,64,57,3.18
9,Punta Arenas,CL,2020-05-06 00:29:24,-53.15,-70.92,33.8,65,99,5.82
10,Portland,US,2020-05-06 00:27:35,45.52,-122.68,75.0,35,20,17.22
11,Tilichiki,RU,2020-05-06 00:29:25,60.47,166.1,29.57,98,100,31.29
12,Victoria,HK,2020-05-06 00:26:21,22.29,114.16,86.0,74,40,6.93
13,Saint-Paul,RE,2020-05-06 00:29:25,-21.01,55.27,73.4,73,47,10.29
14,Qaqortoq,GL,2020-05-06 00:26:07,60.72,-46.03,42.8,75,100,8.59
15,Albany,US,2020-05-06 00:27:30,42.6,-73.97,54.0,30,72,5.79
16,Sitka,US,2020-05-06 00:29:25,57.05,-135.33,53.6,58,75,5.82
17,Port Hedland,AU,2020-05-06 00:29:26,-20.32,118.57,75.2,57,0,5.82
18,Korla,CN,2020-05-06 00:29:26,41.76,86.15,61.63,49,72,7.94
19,Longyearbyen,SJ,2020-05-06 00:29:26,78.22,15.64,28.4,74,40,27.51
20,Paamiut,GL,2020-05-06 00:29:26,61.99,-49.67,33.62,97,100,8.7
21,Thompson,CA,2020-05-06 00:29:26,55.74,-97.86,35.6,51,5,11.41
22,Carolina,PR,2020-05-06 00:29:26,18.38,-65.96,81.0,78,1,9.17
23,Klaksvik,FO,2020-05-06 00:29:26,62.23,-6.59,44.6,87,74,21.92
24,Semey,KZ,2020-05-06 00:29:27,50.41,80.23,33.8,68,0,4.47
25,Bengkulu,ID,2020-05-06 00:29:27,-3.8,102.27,77.4,85,95,4.32
26,Port Alfred,ZA,2020-05-06 00:29:27,-33.59,26.89,63.0,86,37,5.99
27,Atuona,PF,2020-05-06 00:29:27,-9.8,-139.03,81.75,70,30,16.31
28,Katsuura,JP,2020-05-06 00:29:27,35.13,140.3,64.99,88,75,6.93
29,Mahon,ES,2020-05-06 00:29:27,39.89,4.27,64.4,93,85,0.98
30,Shimoda,JP,2020-05-06 00:29:27,34.67,138.95,64.4,82,75,12.75
31,Sooke,CA,2020-05-06 00:29:28,48.37,-123.73,64.99,81,20,6.93
32,Arraial Do Cabo,BR,2020-05-06 00:29:28,-22.97,-42.03,69.8,100,84,3.36
33,Geraldton,AU,2020-05-06 00:29:28,-28.77,114.6,64.4,63,90,16.11
34,Rikitea,PF,2020-05-06 00:29:28,-23.12,-134.97,73.17,67,100,10.67
35,Te Anau,NZ,2020-05-06 00:29:28,-45.42,167.72,53.89,66,52,1.99
36,Batemans Bay,AU,2020-05-06 00:29:28,-35.72,150.18,64.99,64,95,3.11
37,Samarai,PG,2020-05-06 00:29:29,-10.62,150.67,80.85,77,100,14.63
38,Lompoc,US,2020-05-06 00:24:32,34.64,-120.46,70.0,59,1,16.11
39,Nioro,GM,2020-05-06 00:29:29,13.35,-15.75,73.89,60,0,6.22
40,Anito,PH,2020-05-06 00:29:29,12.45,125.29,85.17,74,80,6.91
41,Hobart,AU,2020-05-06 00:29:29,-42.88,147.33,59.0,58,75,17.22
42,Srednekolymsk,RU,2020-05-06 00:29:29,67.45,153.68,31.21,95,95,6.53
43,Puerto Ayora,EC,2020-05-06 00:29:29,-0.74,-90.35,78.8,83,40,12.75
44,General Roca,AR,2020-05-06 00:29:30,-39.03,-67.58,44.6,75,0,2.24
45,Chase,CA,2020-05-06 00:29:30,50.82,-119.69,71.6,19,75,11.41
46,Jamestown,US,2020-05-06 00:28:38,42.1,-79.24,46.0,42,1,10.29
47,Vaini,TO,2020-05-06 00:29:30,-21.2,-175.2,80.6,83,75,6.93
48,Yellowknife,CA,2020-05-06 00:24:42,62.46,-114.35,46.4,39,20,12.75
49,Binga,ZW,2020-05-06 00:29:30,-17.62,27.34,65.26,55,0,1.48
50,Ebebiyin,GQ,2020-05-06 00:29:30,2.15,11.34,69.67,98,15,2.3
51,Henties Bay,NA,2020-05-06 00:29:31,-22.12,14.28,69.13,45,0,0.49
52,Andros Town,BS,2020-05-06 00:29:31,24.7,-77.77,78.8,69,40,8.05
53,Mataura,NZ,2020-05-06 00:25:10,-46.19,168.86,53.26,69,84,7.4
54,Aalborg,DK,2020-05-06 00:29:31,57.05,9.92,39.99,85,6,1.01
55,Fort Nelson,CA,2020-05-06 00:26:35,58.81,-122.7,57.2,50,75,2.24
56,Kintampo,GH,2020-05-06 00:29:32,8.06,-1.73,76.98,83,31,5.57
57,Hilo,US,2020-05-06 00:27:08,19.73,-155.09,82.4,54,90,10.29
58,Bilibino,RU,2020-05-06 00:26:12,68.05,166.44,23.25,83,97,2.66
59,Ancud,CL,2020-05-06 00:29:32,-41.87,-73.82,46.99,100,20,3.36
60,Garbolovo,RU,2020-05-06 00:29:32,60.34,30.5,41.0,57,37,5.5
61,Haines Junction,CA,2020-05-06 00:29:32,60.75,-137.51,49.41,47,0,7.07
62,Talnakh,RU,2020-05-06 00:29:32,69.49,88.4,21.2,85,100,8.95
63,Busselton,AU,2020-05-06 00:29:33,-33.65,115.33,51.01,95,75,24.07
64,Hovd,MN,2020-05-06 00:29:33,48.01,91.64,35.69,77,81,6.58
65,Chuy,UY,2020-05-06 00:25:35,-33.7,-53.46,55.56,75,56,16.8
66,Esperance,AU,2020-05-06 00:29:33,-33.87,121.9,55.4,58,75,28.86
67,Boyolangu,ID,2020-05-06 00:29:33,-8.12,111.89,78.33,87,27,1.88
68,Trencianske Teplice,SK,2020-05-06 00:29:33,48.91,18.17,39.0,85,21,1.01
69,Qingdao,CN,2020-05-06 00:25:29,36.1,120.37,62.6,67,40,2.24
70,Sorland,NO,2020-05-06 00:26:07,67.67,12.69,37.22,81,100,29.59
71,Luderitz,NA,2020-05-06 00:25:27,-26.65,15.16,73.83,27,0,6.46
72,Kapaa,US,2020-05-06 00:29:34,22.08,-159.32,78.8,74,90,14.99
73,Caravelas,BR,2020-05-06 00:29:34,-17.71,-39.25,72.21,77,17,4.63
74,Pangnirtung,CA,2020-05-06 00:29:35,66.15,-65.71,9.77,89,2,0.83
75,San Patricio,MX,2020-05-06 00:29:35,19.22,-104.7,82.4,74,5,3.76
76,Codrington,AU,2020-05-06 00:29:35,-38.27,141.97,58.59,54,100,16.62
77,Laguna,US,2020-05-06 00:26:33,38.42,-121.42,82.4,28,1,11.41
78,Saint-Augustin,CA,2020-05-06 00:29:35,51.23,-58.65,33.87,91,100,25.14
79,Sorong,ID,2020-05-06 00:29:35,-0.88,131.25,83.61,75,44,2.3
80,Sao Felix Do Xingu,BR,2020-05-06 00:29:36,-6.64,-51.99,75.33,90,92,2.04
81,Avarua,CK,2020-05-06 00:29:36,-21.21,-159.78,80.6,78,60,8.05
82,Urumqi,CN,2020-05-06 00:29:36,43.8,87.6,48.2,76,59,2.24
83,Port Elizabeth,ZA,2020-05-06 00:29:36,-33.92,25.57,64.4,77,40,13.87
84,Bluff,NZ,2020-05-06 00:29:36,-46.6,168.33,53.58,78,97,23.96
85,Lima,PE,2020-05-06 00:28:49,-12.04,-77.03,68.0,82,90,5.82
86,Bethel,US,2020-05-06 00:27:40,41.37,-73.41,55.4,24,1,8.05
87,Cozumel,MX,2020-05-06 00:29:09,20.51,-86.95,84.2,70,40,9.17
88,North Bend,US,2020-05-06 00:29:37,43.41,-124.22,60.01,93,90,9.17
89,Ust-Ilimsk,RU,2020-05-06 00:29:37,58.0,102.66,35.24,93,74,7.34
90,Zdvinsk,RU,2020-05-06 00:29:37,54.7,78.66,41.85,71,41,8.7
91,Ushuaia,AR,2020-05-06 00:29:37,-54.8,-68.3,39.2,64,98,6.93
92,Nikolskoye,RU,2020-05-06 00:29:38,59.7,30.79,48.2,61,41,4.47
93,Comodoro Rivadavia,AR,2020-05-06 00:29:38,-45.87,-67.5,48.2,66,0,8.05
94,Tasiilaq,GL,2020-05-06 00:29:38,65.61,-37.64,32.0,87,53,1.12
95,Ponta Do Sol,PT,2020-05-06 00:29:38,32.67,-17.1,64.4,77,20,4.7
96,Havre-Saint-Pierre,CA,2020-05-06 00:29:38,50.23,-63.6,39.2,55,90,12.75
97,Bredy,RU,2020-05-06 00:29:38,52.42,60.34,52.21,46,30,6.62
98,Harper,LR,2020-05-06 00:29:38,4.38,-7.72,80.53,83,94,4.56
99,Genhe,CN,2020-05-06 00:29:39,50.78,121.52,54.19,39,9,3.96
100,Marzuq,YE,2020-05-06 00:29:39,14.4,46.47,74.55,67,43,5.86
101,Sayansk,RU,2020-05-06 00:29:39,54.11,102.16,41.58,64,37,13.94
102,San Ignacio,BZ,2020-05-06 00:29:39,17.16,-89.07,93.2,44,40,6.93
103,New Norfolk,AU,2020-05-06 00:29:39,-42.78,147.06,59.0,77,100,5.06
104,Ilinskiy,RU,2020-05-06 00:29:39,55.62,38.12,59.0,93,20,6.71
105,Coquimbo,CL,2020-05-06 00:29:40,-29.95,-71.34,55.4,93,0,3.36
106,Airai,TL,2020-05-06 00:29:40,-8.93,125.41,68.18,95,31,3.51
107,East London,ZA,2020-05-06 00:29:40,-33.02,27.91,64.81,62,80,10.74
108,Phulera,IN,2020-05-06 00:29:40,26.87,75.23,80.6,44,75,5.82
109,Butaritari,KI,2020-05-06 00:25:11,3.07,172.79,83.08,80,9,11.39
110,Barrow,US,2020-05-06 00:25:09,71.29,-156.79,17.6,78,1,9.17
111,Eureka,US,2020-05-06 00:28:45,40.8,-124.16,59.0,79,100,4.5
112,Waitati,NZ,2020-05-06 00:29:41,-45.75,170.57,55.45,60,82,1.45
113,Constitucion,CL,2020-05-06 00:29:41,-35.33,-72.42,58.55,58,19,7.4
114,Severo-Kurilsk,RU,2020-05-06 00:25:33,50.68,156.12,34.23,89,99,31.34
115,Mecca,SA,2020-05-06 00:29:24,21.43,39.83,78.49,35,43,1.41
116,Chimoio,MZ,2020-05-06 00:29:41,-19.12,33.48,55.81,100,0,2.62
117,Nueva Loja,EC,2020-05-06 00:29:41,0.08,-76.88,82.4,78,24,2.24
118,Rocha,UY,2020-05-06 00:29:42,-34.48,-54.33,55.26,80,87,20.71
119,Kalmunai,LK,2020-05-06 00:29:42,7.42,81.82,80.44,86,57,5.19
120,Virginia Beach,US,2020-05-06 00:26:05,36.85,-75.98,57.0,71,90,4.7
121,Puerto Madero,MX,2020-05-06 00:29:42,14.72,-92.42,71.6,100,90,5.82
122,Bayeux,BR,2020-05-06 00:29:42,-7.12,-34.93,78.8,94,75,6.93
123,Poum,NC,2020-05-06 00:29:42,-20.23,164.02,69.96,86,100,17.34
124,Mahebourg,MU,2020-05-06 00:29:42,-20.41,57.7,73.4,94,75,11.41
125,Tuatapere,NZ,2020-05-06 00:29:43,-46.13,167.68,52.81,76,91,5.12
126,Zhigansk,RU,2020-05-06 00:29:43,66.77,123.37,33.51,98,100,2.51
127,Hithadhoo,MV,2020-05-06 00:29:43,-0.6,73.08,83.98,74,100,7.83
128,Ugoofaaru,MV,2020-05-06 00:29:43,5.67,73.0,84.92,81,91,12.88
129,Asyut,EG,2020-05-06 00:29:43,27.18,31.18,62.53,49,0,8.34
130,Carnarvon,AU,2020-05-06 00:29:43,-24.87,113.63,69.91,73,11,17.6
131,Reno,US,2020-05-06 00:24:57,39.53,-119.81,77.0,7,75,26.4
132,Chaman,PK,2020-05-06 00:29:44,30.92,66.45,66.25,27,0,2.77
133,Sao Filipe,CV,2020-05-06 00:29:44,14.9,-24.5,73.83,78,0,12.46
134,Qaanaaq,GL,2020-05-06 00:29:44,77.48,-69.36,14.34,85,97,4.83
135,Bredasdorp,ZA,2020-05-06 00:25:24,-34.53,20.04,59.0,93,61,1.95
136,Hermanus,ZA,2020-05-06 00:29:44,-34.42,19.23,59.0,90,63,8.48
137,Vardo,NO,2020-05-06 00:29:44,70.37,31.11,37.31,92,100,25.46
138,Le Port,RE,2020-05-06 00:29:44,-20.94,55.29,73.4,73,35,10.29
139,Torbay,CA,2020-05-06 00:29:45,47.67,-52.73,39.99,100,90,20.8
